Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Branching Logic (Show field only if...),Required Field?,cleaner_initials,Cleaned
record_id,drop_out,,text,Record ID,,,,,,HF,Y
dropout,drop_out,,yesno,Has the subject dropped out of the study?,,,,,,,
dropout_date,drop_out,,text,Date of study discontinuation,,,,,,,
dropout_reason,drop_out,,notes,Reason for dropping from study,,,,,,,
a_id,attestation_form,,text,Subject Study ID:,,,,,y,,
survey_date,attestation_form,,text,Date Survey Collected: ,,,date_mdy,,,,
covid_yn,attestation_form,,radio,Have you ever had COVID-19?,"0, Yes | 1, No | 2, Don't Know | 3, Refused",,,,,AS,
covid_date,attestation_form,,text,When did you have it? ,,,date_mdy,[covid_yn] = '0',,,
vx_yn,attestation_form,,yesno,Have you received a COVID-19 vaccine?,,,,,,AS,
vx_type,attestation_form,,dropdown,Which type of COVID-19 vaccine did you receive?,"0, Pfizer | 1, Moderna | 2, Johnson and Johnson | 3, Other",,,[vx_yn] = '1',,,
vx_other,attestation_form,,text,Which vaccine did you receive? ,,,,[vx_type] = '3',,,
vx_j_j,attestation_form,,text,When did you get the vaccine? ,,,date_mdy,[vx_type] = '2',,,
vx_p_m,attestation_form,,radio,Have you had one or two vaccines? ,"0, 1 | 1, 2",,,[vx_type] = '0' or [vx_type] = '1',,,
vx_one,attestation_form,,text,When did you get the first vaccine? ,,,date_mdy,[vx_p_m] = '0',,,
vx_two,attestation_form,,text,When did you get the second vaccine? ,,,date_mdy,[vx_p_m] = '1',,,
vx_why,attestation_form,,dropdown,Why have you not received the vaccine?,"0, Scheduled | 1, Cannot find an appointment | 2, Want to wait (make sure it's safe, want to see others get it) | 3, Will not ever get one | 4, Don't know | 5, Other",,,[vx_yn] = '0',,,
vx_wnot,attestation_form,,notes,Please explain why you will not get a COVID-19 vaccination:,,,,[vx_why] = '3',,,
vx_describe,attestation_form,,notes,Please describe why you have not received a COVID-19 vaccine:,,,,[vx_why] = '5',,,
covid_positive,attestation_form,,yesno,"To your knowledge, have any of your coworkers tested positive for COVID-19?",,,,,,,
covid,attestation_form,,text,How many? ,,,number,[covid_positive] = '1',,,
covid_deceased,attestation_form,,yesno,"To your knowledge, have any of your coworkers passed away due to COVID-19?",,,,,,,
covid_d_number,attestation_form,,text,How many? ,,,number,[covid_deceased] = '1',,AS,
covid_incircle,attestation_form,,yesno,"Aside from your coworkers, do you know anyone that has tested positive for COVID-19?",,,,,,,
positive_friends,attestation_form,,text,How many? ,,,integer,[covid_incircle] = '1',,,
incircle_deceased,attestation_form,,yesno,"Aside from your coworkers, do you know anyone who has passed away due to COVID? ",,,,,,,
number_d,attestation_form,,text,How many? ,,,number,[incircle_deceased] = '1',,,
covid_notes,attestation_form,,notes,Notes:,,,,,,,
id_number,baseline_worker,,text,ID Number,,,,,y,,
work_time_animals,baseline_worker,,text,"How long have you been working with cows? (in any capacity, round to the nearest year) ",,,,[baseline_arm_1][record_id]<>'',,,
work_time_thisfarm,baseline_worker,,text,How long have you been working at this farm? (round to the nearest year),,,,,,,
growup_on_farm,baseline_worker,,checkbox,"Creciste en una granja entre las edades de nacimiento y 10 anos? <font color=""Red"">Did you grow up on a farm between the ages of birth and 10 years old?</font>","1, Si / Yes | 2, No / No",,,,,HMW,
growup_farm_yrs,baseline_worker,,text,"Si si, cuantoas anos vivio en un granja? <font color=""Red"">If you did grow up on a farm, how many years did you live on a farm from ages birth and 10 years?</font>
",,,,[growup_on_farm(1)] = '1',,HMW,
work_jobtitle,baseline_worker,,radio,"Cu?l es su t?tulo de trabajo actual?  /<font color=""red""> What is your current Job Title?</font>","1, Due?o de lecher?a / Farm Owner | 2, Mayordomo/supervisor de lecher?a / Farm Manager/Supervisor | 3, Orde?ador/t?cnico en la lecher?a / Dairy Worker/Technician | 4, Procesador de productos de la leche (l?cteos) /  Dairy Product Processor | 5, Mayordomo de cultivos agr?colas / Crop Manager | 6, Estudiante de agricultura / Agricultural Student | 8, Otro...especifique, por favor / Other, please specify",,,,,HMW,
work_jobtitle_other,baseline_worker,,text,"If other Jobtitle, please specify",,,,[work_jobtitle] = '8',,HMW,
work_hours_days,baseline_worker,,text,"Generalmente, ?Cu?ntos d?as y horas trabaja en la lecher?a por semana? D?as por semana:  /<font color=""red"">  In general, how many days per week and hours per week do you work at the [site]? Days/ week: </font>",,,,,,HMW,
work_hours_hours,baseline_worker,,text,"Horas por semana /<font color=""red""> Hours/ week</font>",,,,,,HMW,
